ID;Duration;Date;Pulse;Maxpulse;Calories
0.0;60.0;2020-12-01;110.0;130.0;4091.0
1.0;60.0;2020-12-02;117.0;145.0;4790.0
2.0;60.0;2020-12-03;103.0;135.0;3400.0
3.0;45.0;2020-12-04;109.0;175.0;2824.0
4.0;45.0;2020-12-05;117.0;148.0;4060.0
5.0;60.0;2020-12-06;102.0;127.0;3000.0
6.0;60.0;2020-12-07;110.0;136.0;3740.0
7.0;450.0;2020-12-08;104.0;134.0;2533.0
8.0;30.0;2020-12-09;109.0;133.0;1951.0
9.0;60.0;2020-12-10;98.0;124.0;2690.0
10.0;60.0;2020-12-11;103.0;147.0;3293.0
11.0;60.0;2020-12-12;100.0;120.0;2507.0
12.0;60.0;2020-12-12;100.0;120.0;2507.0
13.0;60.0;2020-12-13;106.0;128.0;3453.0
14.0;60.0;2020-12-14;104.0;132.0;3793.0
15.0;60.0;2020-12-15;98.0;123.0;2750.0
16.0;60.0;2020-12-16;98.0;120.0;2152.0
17.0;60.0;2020-12-17;100.0;120.0;3000.0
18.0;45.0;2020-12-18;90.0;112.0;0.0
19.0;60.0;2020-12-19;103.0;123.0;3230.0
20.0;45.0;2020-12-20;97.0;125.0;0.0
1.0;60.0;2020-12-21;108.0;131.0;3642.0
23.0;60.0;2020-12-23;130.0;101.0;3000.0
24.0;45.0;2020-12-24;105.0;132.0;2460.0
25.0;60.0;2020-12-25;102.0;126.0;3345.0
26.0;60.0;2020-12-26;100.0;120.0;2500.0
27.0;60.0;2020-12-27;92.0;118.0;2410.0
28.0;60.0;2020-12-28;103.0;132.0;0.0
29.0;60.0;2020-12-29;100.0;132.0;2800.0
30.0;60.0;2020-12-30;102.0;129.0;3803.0
31.0;60.0;2020-12-31;92.0;115.0;2430.0
